epoch,accuracy,loss,val_accuracy,val_loss
0,0.9566500186920166,0.1427418440580368,0.9866999983787537,0.038553256541490555
1,0.9848666787147522,0.04952843487262726,0.9897000193595886,0.03370538353919983
2,0.9897000193595886,0.03249473497271538,0.989300012588501,0.034489214420318604
3,0.9925000071525574,0.023949282243847847,0.9886999726295471,0.03904401883482933
4,0.9937999844551086,0.0194182600826025,0.9919000267982483,0.030160123482346535
5,0.9954000115394592,0.015108989551663399,0.9921000003814697,0.02738928608596325
6,0.9959333539009094,0.013135232962667942,0.9934999942779541,0.022194754332304
7,0.9963499903678894,0.011593533679842949,0.9921000003814697,0.027335964143276215
8,0.9963333606719971,0.011239462532103062,0.9908999800682068,0.04860517755150795
9,0.9976333379745483,0.00816152710467577,0.994700014591217,0.024094950407743454
